,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
1839,air force one boeing 747,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,22:40:32,0,0
1840,air force one with the comey,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1841,air force one with wifi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1842,air force one with russian,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1843,air force one with pepto bismol,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1844,air force one with trump,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1845,air force one with potus,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1846,air force one with obama,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
1847,air force one with 45* maga,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,22:40:35,0,0
1848,air force one with traitor cheeto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1849,air force one en route,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:29,0,0
1850,air force one potus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22:40:32,0,0
1851,air force one chicken,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1852,air force one jared kushner,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1853,air force one on the sabbath,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1854,air force one on shabbat,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1855,air force one on 25feb2017 potus,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,22:40:34,0,0
1856,air force one on trump,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,22:40:33,0,0
1857,air force one 1,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,22:40:30,0,0
1858,air force one russians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1859,air force one two,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1860,air force one crazy,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,22:40:32,0,0
1861,air force one around,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1862,air force one collector extradonaire,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1863,air force one will not land,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:32,0,0
1864,air force one harrison ford,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1865,"air force one""now",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,22:40:35,0,0
1866,air force one-after,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:30,0,0
